政府統計コード	政府統計名	作成機関	担当部局課室名	統計の種類	提供周期	データ一覧	統計表ファイル	データベース	作成機関情報
00500400	動物検疫統計	農林水産省	動物検疫所企画管理部調査課	業務統計	月、年	-	-	-	-
00500500	土壌改良資材の生産量及び輸入量調査	農林水産省	大臣官房統計部生産流通消費統計課	一般統計	年	?登録あり	〇	〇	?作成機関情報
00500501	地域特産野菜生産状況調査	農林水産省	大臣官房統計部生産流通消費統計課	一般統計	２年	?登録あり	〇	〇	?作成機関情報
00500502	園芸用施設及び農業用廃プラスチックに関する調査	農林水産省	生産局園芸作物課花き産業・施設園芸振興室	業務統計	２年	?登録あり	〇	-	?作成機関情報
00500503	特産果樹生産動態等調査	農林水産省	生産局農産部園芸作物課	業務統計	年	?登録あり	〇	〇	?作成機関情報
00500504	蚕糸業需給動向調査	農林水産省	生産局地域対策官	その他	隔月	?登録あり	〇	-	?作成機関情報
00500505	特産農作物の生産実績調査	農林水産省	生産局地域対策官	その他	年	?登録あり	〇	-	?作成機関情報
00500506	蚕業に関する調査	農林水産省	生産局地域対策官	その他	年	?登録あり	〇	-	?作成機関情報
00500507	飼料需給表	農林水産省	生産局飼料課	加工統計	年	-	-	-	-
00500508	牛乳乳製品の生産動向	農林水産省	生産局畜産部牛乳乳製品課	加工統計	月	?登録あり	〇	〇	?作成機関情報
00500509	チーズの需給表	農林水産省	生産局畜産部牛乳乳製品課	加工統計	年	?登録あり	〇	〇	?作成機関情報
00500510	花き産業振興総合調査	農林水産省	大臣官房統計部生産流通消費統計課	一般統計	年	?登録あり	〇	〇	?作成機関情報
00500600	農業経営改善計画の営農類型別認定状況	農林水産省	経営局経営政策課	業務統計	年	?登録あり	〇	〇	?作成機関情報
00500601	土地管理情報収集分析調査	農林水産省	経営局農地政策課	その他	年	?登録あり	〇	-	?作成機関情報
00500602	農業協同組合及び同連合会一斉調査	農林水産省	大臣官房統計部経営・構造統計課センサス統計室	一般統計	年、２年	?登録あり	〇	〇	?作成機関情報
00500603	農業協同組合等現在数統計	農林水産省	経営局協同組織課	業務統計	年	?登録あり	〇	〇	?作成機関情報
00500604	農作物共済統計表	農林水産省	経営局保険課	業務統計	年	?登録あり	〇	〇	?作成機関情報
00500605	家畜共済統計表	農林水産省	経営局保険課	業務統計	年	?登録あり	〇	〇	?作成機関情報
00500606	果樹共済統計表	農林水産省	経営局保険課	業務統計	年	?登録あり	〇	〇	?作成機関情報
00500607	畑作物共済統計表	農林水産省	経営局保険課	業務統計	年	?登録あり	〇	〇	?作成機関情報
00500608	園芸施設共済統計表	農林水産省	経営局保険課	業務統計	年	?登録あり	〇	〇	?作成機関情報
00500609	農地の権利移動・借賃等調査	農林水産省	経営局農地政策課	業務統計	年	?登録あり	〇	〇	?作成機関情報
00500700	農村地域工業等導入基本方針策定等調査	農林水産省	農村振興局農村政策部農村計画課農村政策推進室	その他	５年	-	-	-	-
00500701	中山間地域等直接支払制度の実施状況	農林水産省	農村振興局農村政策部地域振興課中山間地域室	業務統計	年	?登録あり	〇	〇	?作成機関情報
00500702	農村地域工業等導入地区管理基本調査	農林水産省	農村振興局農村政策部農村計画課農村政策推進室	その他	年	-	-	-	-
00500800	農林水産関係試験研究機関基礎調査	農林水産省	農林水産技術会議事務局研究企画課	業務統計	年	?登録あり	〇	〇	?作成機関情報
00500900	農林漁業体験学習の取組（教育ファーム）実態調査	農林水産省	食料産業局食文化・市場開拓課	一般統計	年	?登録あり	〇	-	?作成機関情報
00501000	木材需給表	林野庁	林政部企画課	加工統計	年	?登録あり	〇	〇	?作成機関情報
00501001	森林組合一斉調査	林野庁	"林政部経営課移管
大臣官房統計部経営・構造統計課センサス統計室"	一般統計	年	?登録あり	〇	〇	?作成機関情報
00501002	森林づくり活動についての実態調査	林野庁	森林整備部森林利用課	一般統計	３年	?登録あり	〇	-	?作成機関情報
00501003	緑化樹木の生産状況調査	林野庁	森林整備部整備課	その他	年	?登録あり	〇	-	?作成機関情報
00501004	特用林産物生産統計調査	林野庁	"林政部経営課移管
大臣官房統計部生産流通消費統計課"	一般統計	年	?登録あり	〇	〇	?作成機関情報
00501005	国有林野事業統計書	林野庁	国有林野部経営企画課	業務統計	年	?登録あり	〇	〇	?作成機関情報
00501006	森林国営保険事業統計書	林野庁	森林整備部計画課	業務統計	年	?登録あり	〇	-	?作成機関情報
00501007	森林資源の現況	林野庁	森林整備部計画課	業務統計	５年	?登録あり	〇	-	?作成機関情報
00501008	木質バイオマスエネルギー利用動向調査	林野庁	"林政部木材利用課移管
大臣官房統計部生産流通消費統計課"	一般統計	年	?登録あり	〇	〇	?作成機関情報
00502000	都道府県知事認可の漁業協同組合の職員に関する一斉調査	水産庁	"漁政部水産経営課移管
大臣官房統計部経営・構造統計課センサス統計室"	一般統計	２年	?登録あり	〇	〇	?作成機関情報
00502001	水産加工業経営実態調査	水産庁	漁政部加工流通課	一般統計	不定期	?登録あり	〇	〇	?作成機関情報
00502002	遊漁採捕量調査	水産庁	資源管理部管理調整課	一般統計	不定期	?登録あり	〇	-	?作成機関情報
00502003	水産業協同組合年次報告	水産庁	漁政部水産経営課	業務統計	年	?登録あり	〇	〇	?作成機関情報
00502004	水産業協同組合統計表	水産庁	漁政部水産経営課	業務統計	年	-	-	-	-
00502005	水産物流通調査（産地水産物用途別出荷量調査、冷蔵水産物在庫量調査）	水産庁	"漁政部加工流通課移管
大臣官房統計部生産流通消費統計課消費統計室"	一般統計	月、年	?登録あり	〇	〇	?作成機関情報
00550004	経済構造実態調査	経済産業省	大臣官房調査統計グループ構造統計室	基幹統計	年	-	-	-	-
00550005	経済センサス-活動調査	経済産業省	大臣官房調査統計グループ構造統計室	基幹統計	５年	?登録あり	〇	-	?作成機関情報
00550010	工業統計調査	経済産業省	大臣官房調査統計グループ構造統計室	基幹統計	年	?登録あり	〇	〇	?作成機関情報
00550020	商業統計調査	経済産業省	大臣官房調査統計グループ構造統計室	基幹統計	５年	?登録あり	〇	〇	?作成機関情報
00550025	消費者向け電子商取引実態調査	経済産業省	大臣官房調査統計グループ構造統計室	一般統計	未定	?登録あり	〇	-	?作成機関情報
00550030	商業動態統計調査	経済産業省	大臣官房調査統計グループサービス動態統計室	基幹統計	月	?登録あり	〇	〇	?作成機関情報
00550035	専門量販店販売統計調査	経済産業省	大臣官房調査統計グループサービス動態統計室	一般統計	月	?登録あり	〇	〇	?作成機関情報
00550036	ビッグデータを活用した商業動態統計調査（試験調査：家電大型専門店分野）	経済産業省	大臣官房調査統計グループサービス動態統計室	一般統計	１回限り	?登録あり	〇	-	?作成機関情報
00550040	特定サービス産業実態調査	経済産業省	大臣官房調査統計グループ構造統計室	基幹統計	年	?登録あり	〇	〇	?作成機関情報
00550050	特定サービス産業動態統計調査	経済産業省	大臣官房調査統計グループサービス動態統計室	一般統計	月	?登録あり	〇	〇	?作成機関情報
00550051	特定サービス産業動態売上高指数	経済産業省	大臣官房調査統計グループサービス動態統計室	加工統計	月	?登録あり	〇	〇	?作成機関情報
00550060	本邦鉱業のすう勢調査	経済産業省	大臣官房調査統計グループ構造統計室	その他	５年	?登録あり	〇	-	?作成機関情報
00550070	特定機械設備統計調査	経済産業省	大臣官房調査統計グループ構造統計室	その他	不定期	?登録あり	〇	-	?作成機関情報
00550080	シェアリングエコノミーに関する実態調査	経済産業省	大臣官房調査統計グループ構造統計室	一般統計	年	?登録あり	〇	-	?作成機関情報
00550100	経済産業省企業活動基本調査	経済産業省	大臣官房調査統計グループ企業統計室	基幹統計	年	?登録あり	〇	〇	?作成機関情報
00550110	外資系企業動向調査	経済産業省	貿易経済協力局投資促進課	一般統計	年	?登録あり	〇	〇	?作成機関情報
00550120	海外事業活動基本調査	経済産業省	大臣官房調査統計グループ企業統計室	一般統計	年	?登録あり	〇	-	?作成機関情報
00550130	海外現地法人四半期調査	経済産業省	大臣官房調査統計グループ企業統計室	一般統計	四半期	?登録あり	〇	-	?作成機関情報
00550140	商工業実態基本調査	経済産業省	大臣官房調査統計グループ企業統計室	その他	５年	?登録あり	〇	-	?作成機関情報
00550150	情報通信業基本調査	経済産業省	大臣官房調査統計グループ企業統計室	一般統計	年	-	-	-	-
00550160	純粋持株会社実態調査	経済産業省	大臣官房調査統計グループ企業統計室	一般統計	年	?登録あり	〇	-	?作成機関情報
00550200	経済産業省生産動態統計調査	経済産業省	大臣官房調査統計グループ鉱工業動態統計室	基幹統計	月	?登録あり	〇	〇	?作成機関情報
00550210	経済産業省特定業種石油等消費動態統計調査	経済産業省	大臣官房調査統計グループ鉱工業動態統計室	基幹統計	月	?登録あり	〇	〇	?作成機関情報
00550300	鉱工業生産・出荷・在庫指数	経済産業省	大臣官房調査統計グループ経済解析室	基幹統計	月	?登録あり	〇	〇	?作成機関情報
00550310	鉱工業出荷内訳表	経済産業省	大臣官房調査統計グループ経済解析室	加工統計	月	?登録あり	〇	-	?作成機関情報
00550320	製造工業生産能力・稼働率指数	経済産業省	大臣官房調査統計グループ経済解析室	基幹統計	月	?登録あり	〇	〇	?作成機関情報
00550330	鉱工業総供給表	経済産業省	大臣官房調査統計グループ経済解析室	加工統計	月	?登録あり	〇	-	?作成機関情報
00550340	製造工業生産予測調査	経済産業省	大臣官房調査統計グループ経済解析室	一般統計	月	-	-	-	-
00550350	製造工業生産予測指数	経済産業省	大臣官房調査統計グループ経済解析室	加工統計	月	?登録あり	〇	-	?作成機関情報
00550360	第3次産業活動指数	経済産業省	大臣官房調査統計グループ経済解析室	加工統計	月	?登録あり	〇	-	?作成機関情報
00550370	第3次産業活動能力・稼働率指数	経済産業省	大臣官房調査統計グループ経済解析室	加工統計	月	?登録あり	〇	-	?作成機関情報
00550380	全産業活動指数	経済産業省	大臣官房調査統計グループ経済解析室	加工統計	月	?登録あり	〇	-	?作成機関情報
00550390	全産業供給指数	経済産業省	大臣官房調査統計グループ経済解析室	加工統計	月	?登録あり	〇	-	?作成機関情報
00550400	産業連関構造調査（鉱工業投入調査）	経済産業省	大臣官房調査統計グループ調査分析支援室	一般統計	５年	?登録あり	〇	-	?作成機関情報
00550410	商品流通調査	経済産業省	大臣官房調査統計グループ調査分析支援室	一般統計	５年	?登録あり	〇	-	?作成機関情報
00550420	産業連関構造調査（資本財販売先調査）	経済産業省	大臣官房調査統計グループ調査分析支援室	一般統計	５年	?登録あり	〇	-	?作成機関情報
00550425	延長産業連関表	経済産業省	大臣官房調査統計グループ調査分析支援室	加工統計	年	?登録あり	〇	-	?作成機関情報
00550430	簡易延長産業連関表	経済産業省	大臣官房調査統計グループ調査分析支援室	加工統計	年	?登録あり	〇	-	?作成機関情報
00550440	地域間産業連関表	経済産業省	大臣官房調査統計グループ調査分析支援室	加工統計	５年	?登録あり	〇	-	?作成機関情報
00550450	地域内産業連関表	経済産業省	大臣官房調査統計グループ調査分析支援室	加工統計	５年	-	-	-	-
00550460	国際産業連関表	経済産業省	大臣官房調査統計グループ調査分析支援室	加工統計	不定期	?登録あり	〇	-	?作成機関情報
00550470	産業連関構造調査（商業マージン調査）	経済産業省	大臣官房調査統計グループ調査分析支援室	一般統計	５年	?登録あり	〇	-	?作成機関情報
00550480	産業連関構造調査（輸入品需要先調査）	経済産業省	大臣官房調査統計グループ調査分析支援室	一般統計	５年	?登録あり	〇	-	?作成機関情報
00550500	経済産業省企業金融調査	経済産業省	経済産業政策局産業資金課	一般統計	年	?登録あり	〇	〇	?作成機関情報
00550510	工場立地動向調査	経済産業省	地域経済産業局地域経済産業グループ地域企業高度化推進課	一般統計	半年	?登録あり	〇	〇	?作成機関情報
00550520	公害防止設備投資調査	経済産業省	産業技術環境局環境政策課環境指導室	一般統計	年	?登録あり	〇	-	?作成機関情報
00550530	リサイクル産業実態調査	経済産業省	資源循環経済課	一般統計	１回限り	?登録あり	〇	-	?作成機関情報
00550540	容器包装利用・製造等実態調査	経済産業省	産業技術環境局リサイクル推進課	一般統計	年	?登録あり	〇	-	?作成機関情報
00550550	鉄鋼需給動態統計調査	経済産業省	製造産業局金属課	一般統計	月	?登録あり	〇	-	?作成機関情報
00550560	鉄鋼生産内訳月報	経済産業省	"製造産業局金属課
製造産業局素形材産業室"	一般統計	月	?登録あり	〇	〇	?作成機関情報
00550570	化学物質の製造・輸入量に関する実態調査	経済産業省	製造産業局化学物質管理課化学物質安全室	一般統計	３年	?登録あり	〇	-	?作成機関情報
00550575	化学物質排出把握管理促進法施行状況調査	経済産業省	化学物質管理課化学物質リスク評価室	一般統計	１回限り	?登録あり	〇	-	?作成機関情報
00550580	機能性化学品動向調査	経済産業省	製造産業局素材産業課	一般統計	四半期	?登録あり	〇	〇	?作成機関情報
00550590	バイオ産業創造基礎調査	経済産業省	商務情報政策局生物化学産業課	一般統計	年	?登録あり	〇	〇	?作成機関情報
00550600	砕石等動態統計調査	経済産業省	製造産業局素材産業課	一般統計	四半期	?登録あり	〇	-	?作成機関情報
00550610	生コンクリート流通統計調査	経済産業省	製造産業局素材産業課	一般統計	四半期	?登録あり	〇	-	?作成機関情報
00550620	建設機械動向調査	経済産業省	製造産業局産業機械課	一般統計	２年	-	-	-	-
00550630	金属加工統計調査	経済産業省	製造産業局素形材産業室	一般統計	月	?登録あり	〇	-	?作成機関情報
00550640	繊維流通統計調査	経済産業省	製造産業局生活製品課	一般統計	月	-	-	-	-
00550650	革需給動態統計調査	経済産業省	製造産業局生活製品課	一般統計	月	?登録あり	〇	-	?作成機関情報
00550660	情報処理実態調査	経済産業省	商務情報政策局総務課	一般統計	１回限り	?登録あり	〇	-	?作成機関情報
00550665	組込みソフトウェア産業実態調査	経済産業省	商務情報政策局情報処理振興課	一般統計	１回限り	-	-	-	-
00550670	家庭電気製品の量販店販売統計調査	経済産業省	商務情報政策局情報通信機器課	一般統計	月	?登録あり	〇	-	?作成機関情報
00550680	中国地域専門量販店販売統計調査	経済産業省	中国経済産業局総務企画部調査課	一般統計	月	?登録あり	〇	-	?作成機関情報
00550690	電気保安統計	経済産業省	商務情報政策局商務流通保安グループ電力安全課	業務統計	年	?登録あり	〇	-	?作成機関情報
00550700	鉱山保安統計月報	経済産業省	商務情報政策局商務流通保安グループ鉱山・火薬類監理官付	業務統計	月	?登録あり	〇	-	?作成機関情報
00550710	スポットＬＮＧ価格調査	経済産業省	商務・サービスG参事官室（商品市場整備担当）	一般統計	月	?登録あり	〇	-	?作成機関情報
00551005	エネルギー消費統計調査	資源エネルギー庁	長官官房総務課戦略企画室	一般統計	年	?登録あり	〇	〇	?作成機関情報
00551010	総合エネルギー統計	資源エネルギー庁	長官官房総合政策課戦略企画室	加工統計	年	?登録あり	〇	-	?作成機関情報
00551011	総合エネルギー統計補足調査（電気事業者の発電量内訳調査）	資源エネルギー庁	長官官房総務課戦略企画室	一般統計	１年	?登録あり	〇	-	?作成機関情報
00551020	石油製品需給動態統計調査	資源エネルギー庁	資源・燃料部政策課	基幹統計	月	?登録あり	〇	〇	?作成機関情報
00551030	石油輸入調査	資源エネルギー庁	資源・燃料部政策課	一般統計	月	?登録あり	〇	-	?作成機関情報
00551040	石油設備調査	資源エネルギー庁	資源・燃料部政策課	一般統計	２年	?登録あり	〇	〇	?作成機関情報
00551050	灯油及びプロパンガス消費実態調査	資源エネルギー庁	資源・燃料部石油流通課	一般統計	２年	?登録あり	〇	-	?作成機関情報
00551060	埋蔵鉱量統計調査	資源エネルギー庁	資源・燃料部鉱物資源課	基幹統計	５年	?登録あり	〇	-	?作成機関情報
00551070	非鉄金属等需給動態統計調査	資源エネルギー庁	資源・燃料部鉱物資源課	一般統計	月	?登録あり	〇	-	?作成機関情報
00551080	貴金属流通統計調査	資源エネルギー庁	資源・燃料部鉱物資源課	一般統計	月	?登録あり	〇	-	?作成機関情報
00551090	非鉄金属海外鉱等受入調査	資源エネルギー庁	資源・燃料部鉱物資源課	一般統計	月	?登録あり	〇	-	?作成機関情報
00551100	レアメタル生産動態統計調査	資源エネルギー庁	資源・燃料部鉱物資源課	一般統計	月	?登録あり	〇	-	?作成機関情報
00551110	電力需要調査	資源エネルギー庁	電力・ガス事業部電力市場整備室	一般統計	四半期	?登録あり	〇	〇	?作成機関情報
00551120	電力調査統計	資源エネルギー庁	電力・ガス事業部電力市場整備室	業務統計	月	?登録あり	〇	〇	?作成機関情報
00551125	電力の送受電に関する実績調査	資源エネルギー庁	電力・ガス事業部電力市場整備室	一般統計	年	-	-	-	-
00551130	ガス事業生産動態統計調査	資源エネルギー庁	電力・ガス事業部ガス市場整備課	基幹統計	月	?登録あり	〇	〇	?作成機関情報
00551140	石油備蓄の現況	資源エネルギー庁	資源・燃料部石油精製備蓄課	業務統計	月	?登録あり	〇	-	?作成機関情報
00551150	LPガス備蓄の現況	資源エネルギー庁	資源・燃料部石油流通課	業務統計	月	?登録あり	〇	-	?作成機関情報
00551160	電気保安統計	資源エネルギー庁	原子力安全・保安院電力安全課	業務統計	年	-	-	-	-
00551170	鉱山保安統計月報	資源エネルギー庁	原子力安全・保安院鉱山保安課	業務統計	月	-	-	-	-
00551180	経済産業省特定業種石油等消費統計調査	資源エネルギー庁	長官官房総務課戦略企画室	基幹統計	月	?登録あり	〇	-	?作成機関情報
00551190	採石業者の業務の状況に関する報告書の集計結果	資源エネルギー庁	資源・燃料部鉱物資源課	その他	年	-	-	-	-
00552010	知的財産活動調査	特許庁	総務部企画調査課	一般統計	年	?登録あり	〇	〇	?作成機関情報
00552020	特許行政年次報告書〈統計・資料編〉	特許庁	総務部企画調査課	業務統計	年	?登録あり	〇	〇	?作成機関情報
00552030	模倣被害実態調査	特許庁	総務部国際協力課	一般統計	年	?登録あり	〇	-	?作成機関情報
00552040	模倣品・海賊版対策の相談業務に関する年次報告	特許庁	総務部国際協力課模倣品対策室	業務統計	１年	-	-	-	-
00553005	経営環境実態調査	中小企業庁	事業環境部企画課調査室	一般統計	年	-	-	-	-
00553010	中小企業実態基本調査	中小企業庁	事業環境部企画課調査室	一般統計	年	?登録あり	〇	〇	?作成機関情報
00553020	下請中小企業短期動向調査	中小企業庁	事業環境部取引課	その他	月	?登録あり	〇	-	?作成機関情報
00553030	規模別製造工業生産指数	中小企業庁	事業環境部企画課調査室	加工統計	月	?登録あり	〇	-	?作成機関情報
00553040	中小企業の経営指標	中小企業庁	事業環境部企画課調査室	その他	年	?登録あり	〇	-	?作成機関情報
00553050	中小商業・サービス業設備投資動向調査	中小企業庁	事業環境部企画課調査室	その他	半年	?登録あり	〇	-	?作成機関情報
00553060	規模別輸出額・輸入額	中小企業庁	事業環境部企画課調査室	加工統計	月	?登録あり	〇	-	?作成機関情報
00553070	規模別国内企業物価指数	中小企業庁	事業環境部企画課調査室	加工統計	月	?登録あり	〇	-	?作成機関情報
00553100	中小企業の企業数・事業所数	中小企業庁	事業環境部企画課調査室	加工統計	２～３年	?登録あり	〇	-	?作成機関情報
00600010	建設副産物実態調査	国土交通省	総合政策局公共事業企画調整課インフラ情報・環境企画室	一般統計	１回限り	?登録あり	〇	-	?作成機関情報
00600020	大都市交通センサス	国土交通省	総合政策局交通政策課	一般統計	５年	?登録あり	〇	-	?作成機関情報
00600030	建設業構造実態調査	国土交通省	土地・建設産業局建設市場整備課専門工事業・建設関連業振興室	一般統計	５年	?登録あり	〇	-	?作成機関情報
00600040	建設資材・労働力需要実態調査	国土交通省	土地・建設産業局建設市場整備課労働資材対策室	一般統計	２年	?登録あり	〇	-	?作成機関情報
00600050	建設労働需給調査	国土交通省	土地・建設産業局建設市場整備課労働資材対策室	一般統計	月	?登録あり	〇	-	?作成機関情報
00600060	主要建設資材需給・価格動向調査	国土交通省	土地・建設産業局建設市場整備課労働資材対策室	一般統計	月	?登録あり	〇	-	?作成機関情報
00600070	建設機械損料調査	国土交通省	総合政策局公共事業企画調整課施工安全企画室	一般統計	２年	?登録あり	〇	-	?作成機関情報
00600080	建設機械動向調査	国土交通省	総合政策局公共事業企画調整課施工安全企画室	一般統計	２年	?登録あり	〇	〇	?作成機関情報
00600090	リース・レンタル建設機械情勢調査	国土交通省	総合政策局公共事業企画調整課施工安全企画室	一般統計	５年	?登録あり	〇	-	?作成機関情報
00600100	倉庫統計季報	国土交通省	"総合政策局物流政策課
大臣官房参事官（物流産業）室"	業務統計	四半期	?登録あり	〇	-	?作成機関情報
00600120	建築着工統計調査	国土交通省	総合政策局情報政策課建設経済統計調査室	基幹統計	月	?登録あり	〇	〇	?作成機関情報
00600130	建設工事統計調査	国土交通省	総合政策局情報政策課建設経済統計調査室	基幹統計	月、年	?登録あり	〇	〇	?作成機関情報
00600140	建設関連業等の動態統計調査	国土交通省	総合政策局情報政策課建設経済統計調査室	一般統計	月	?登録あり	〇	〇	?作成機関情報
00600150	建設業活動実態調査	国土交通省	総合政策局情報政策課建設経済統計調査室	一般統計	年	?登録あり	〇	〇	?作成機関情報
00600160	建築物実態調査	国土交通省	総合政策局情報政策課建設経済統計調査室	一般統計	年	?登録あり	〇	-	?作成機関情報
00600161	増改築・改装等調査	国土交通省	総合政策局情報政策課建設経済統計調査室	一般統計	年	?登録あり	〇	-	?作成機関情報
00600170	住宅用地完成面積調査	国土交通省	総合政策局情報政策課建設経済統計調査室	一般統計	年	?登録あり	〇	-	?作成機関情報
00600180	産業連関構造調査（土木工事間接工事費投入調査）	国土交通省	総合政策局情報政策課建設経済統計調査室	一般統計	５年	?登録あり	〇	-	?作成機関情報
00600190	産業連関構造調査（独立行政法人等土木工事費投入調査）	国土交通省	総合政策局情報政策課建設経済統計調査室	一般統計	５年	?登録あり	〇	-	?作成機関情報
00600200	産業連関構造調査（土木工事費投入調査）	国土交通省	総合政策局情報政策課建設経済統計調査室	一般統計	５年	?登録あり	〇	-	?作成機関情報
00600210	産業連関構造調査（建築工事費投入調査）	国土交通省	総合政策局情報政策課建設経済統計調査室	一般統計	５年	?登録あり	〇	-	?作成機関情報
00600220	産業連関構造調査（不動産業投入調査）	国土交通省	総合政策局情報政策課建設経済統計調査室	一般統計	５年	?登録あり	〇	-	?作成機関情報
00600230	産業連関構造調査（公共事業工事費投入調査）	国土交通省	総合政策局情報政策課建設経済統計調査室	一般統計	５年	?登録あり	〇	-	?作成機関情報
00600240	建築物滅失統計調査	国土交通省	総合政策局情報政策課建設経済統計調査室	業務統計	月	?登録あり	〇	-	?作成機関情報
00600250	建設業務統計	国土交通省	総合政策局情報政策課建設経済統計調査室	業務統計	年	-	-	-	-
00600260	建設総合統計	国土交通省	総合政策局情報政策課建設経済統計調査室	加工統計	月	?登録あり	〇	-	?作成機関情報
00600270	建設工事費デフレーター	国土交通省	総合政策局情報政策課建設経済統計調査室	加工統計	月、年	?登録あり	〇	-	?作成機関情報
00600280	港湾調査	国土交通省	総合政策局情報政策課交通経済統計調査室	基幹統計	月、年	?登録あり	〇	〇	?作成機関情報
00600290	船舶船員統計調査	国土交通省	総合政策局情報政策本部情報政策課交通経済統計調査室	その他	年	-	-	-	-
00600300	造船造機統計調査	国土交通省	総合政策局情報政策課交通経済統計調査室	基幹統計	月	?登録あり	〇	〇	?作成機関情報
00600310	鉄道車両等生産動態統計調査	国土交通省	総合政策局情報政策課交通経済統計調査室	基幹統計	月、四半期	?登録あり	〇	〇	?作成機関情報
00600320	船員労働統計調査	国土交通省	総合政策局情報政策課交通経済統計調査室	基幹統計	年	?登録あり	〇	〇	?作成機関情報
00600330	自動車輸送統計調査	国土交通省	総合政策局情報政策課交通経済統計調査室	基幹統計	月	?登録あり	〇	〇	?作成機関情報
00600340	内航船舶輸送統計調査	国土交通省	総合政策局情報政策課交通経済統計調査室	基幹統計	月、年	?登録あり	〇	〇	?作成機関情報
00600350	鉄道輸送統計調査	国土交通省	総合政策局情報政策課交通経済統計調査室	一般統計	月、年	?登録あり	〇	-	?作成機関情報
00600360	航空輸送統計調査	国土交通省	総合政策局情報政策課交通経済統計調査室	一般統計	月	?登録あり	〇	〇	?作成機関情報
00600370	自動車燃料消費量調査	国土交通省	総合政策局情報政策課交通経済統計調査室	一般統計	月	?登録あり	〇	〇	?作成機関情報
00600380	海難統計	国土交通省	総合政策局情報政策本部情報政策課交通経済統計調査室	その他	年	-	-	-	-
00600390	交通関連企業設備投資動向調査	国土交通省	総合政策局情報政策課	その他	年	-	-	-	-
00600400	旅客県間流動調査	国土交通省	総合政策局情報政策課	一般統計	年	-	-	-	-
00600410	産業連関構造調査（運輸関連事業投入調査）	国土交通省	総合政策局情報政策課	一般統計	５年	?登録あり	〇	-	?作成機関情報
00600420	産業連関構造調査（内航船舶品目別運賃収入調査）	国土交通省	総合政策局情報政策課	一般統計	５年	-	-	-	-
00600430	産業連関構造調査（有料駐車場に関する投入調査）	国土交通省	総合政策局情報政策課	一般統計	５年	?登録あり	〇	-	?作成機関情報
00600440	産業連関構造調査（こん包業に関する投入調査）	国土交通省	総合政策局情報政策課	一般統計	５年	?登録あり	〇	-	?作成機関情報
00600450	産業連関構造調査（地方公共団体運輸関連施設投入調査）	国土交通省	総合政策局情報政策課	一般統計	５年	?登録あり	〇	-	?作成機関情報
00600460	貨物地域流動調査・旅客地域流動調査	国土交通省	総合政策局情報政策課	加工統計	年	?登録あり	〇	-	?作成機関情報
00600461	幹線旅客流動実態調査（幹線バス旅客流動調査）	国土交通省	総合政策局情報政策課	一般統計	５年	?登録あり	〇	-	?作成機関情報
00600462	幹線旅客流動実態調査（幹線フェリー・旅客船旅客流動実態調査）	国土交通省	総合政策局情報政策課	一般統計	５年	?登録あり	〇	-	?作成機関情報
00600470	法人土地・建物基本調査	国土交通省	土地・建設産業局企画課	基幹統計	５年	?登録あり	〇	〇	?作成機関情報
00600475	世帯土地統計	国土交通省	土地・建設産業局企画課	加工統計	５年	?登録あり	〇	〇	?作成機関情報
00600480	法人建物調査	国土交通省	土地・建設産業局企画課	一般統計	５年	?登録あり	〇	〇	?作成機関情報
00600490	土地保有移動調査	国土交通省	土地・建設産業局企画課	一般統計	年	?登録あり	〇	-	?作成機関情報
00600500	企業の土地取得状況等に関する調査	国土交通省	土地・建設産業局企画課	一般統計	年	?登録あり	〇	〇	?作成機関情報
00600501	土地動態調査	国土交通省	土地・建設産業局企画課	一般統計	年	?登録あり	〇	-	?作成機関情報
00600510	小規模事業所における工業用水需要実態調査	国土交通省	水管理・国土保全局水資源部水資源計画課総合水資源管理戦略室	一般統計	不定期	?登録あり	〇	-	?作成機関情報
00600520	東京都市圏物資流動調査	国土交通省	都市局  都市計画課  都市計画調査室	一般統計	10年	?登録あり	〇	-	?作成機関情報
00600530	中京都市圏物資流動調査	国土交通省	都市局  都市計画課  都市計画調査室	一般統計	10年	?登録あり	〇	-	?作成機関情報
00600540	近畿圏物資流動調査	国土交通省	都市局  都市計画課  都市計画調査室	一般統計	10年	?登録あり	〇	-	?作成機関情報
00600545	全国都市交通特性調査	国土交通省	都市局都市計画課都市計画調査室	一般統計	５年	?登録あり	〇	-	?作成機関情報
00600550	東京都市圏パーソントリップ調査	国土交通省	都市局  都市計画課  都市計画調査室	一般統計	10年	?登録あり	〇	-	?作成機関情報
00600560	中京都市圏パーソントリップ調査	国土交通省	都市局  都市計画課  都市計画調査室	一般統計	10年	?登録あり	〇	-	?作成機関情報
00600570	近畿圏パーソントリップ調査	国土交通省	都市局  都市計画課  都市計画調査室	一般統計	10年	?登録あり	〇	-	?作成機関情報
00600580	全国道路・街路交通情勢調査	国土交通省	道路局企画課道路経済調査室	一般統計	５年	?登録あり	〇	-	?作成機関情報
00600590	水害統計調査	国土交通省	水管理・国土保全局河川計画課	一般統計	年	?登録あり	〇	〇	?作成機関情報
00600610	道路統計調査	国土交通省	道路局企画課	業務統計	年	?登録あり	〇	-	?作成機関情報
00600620	全国貨物純流動調査	国土交通省	総合政策局物流政策課及び道路局企画課道路経済調査室	一般統計	５年	?登録あり	〇	-	?作成機関情報
